feature,gain
term,1225.71435546875
issue_d,958.587646484375
fico_range_high,389.5166015625
fico_range_low,363.0762634277344
acc_open_past_24mths,324.39385986328125
inq_last_6mths,240.29257202148438
verification_status_Verified,235.75027465820312
verification_status_Source Verified,222.17446899414062
purpose_credit_card,217.87460327148438
initial_list_status_w,213.0506591796875
purpose_small_business,197.5968475341797
home_ownership_MORTGAGE,161.70321655273438
num_tl_op_past_12m,154.43077087402344
home_ownership_RENT,152.13763427734375
addr_state_OR,124.31524658203125
funded_amnt,122.35810089111328
addr_state_WA,118.04275512695312
tot_hi_cred_lim,116.42059326171875
addr_state_NY,104.36103057861328
dti,103.7820816040039
addr_state_CO,94.55146789550781
mort_acc,91.40792083740234
loan_amnt,88.48576354980469
bc_open_to_buy,83.88870239257812
addr_state_ME,82.26121520996094
